Establishment Type,Establishment Sub-Type,Establishment Name,Contact Title,Contact Name,Address 1,Address 2,Town/City,Postcode,Phone,Fax,Email,Website,Establishment Notes,SEED Code,Nursery Class,School Annexe,Neighbourhood,Multi-Member Ward,X,Y,Short Name,Opening Hours,Religion,Associated secondary school,Meal provider,More about primary school meals,Eco-Schools status,More about the Eco-Schools programme,Catchment area map,Glow SCA,Glow ASM,Kitchen,Business Manager,Business Manager E-mail,Active School Co-ordinator,ASC Phone,CC Opening Hours,CC Bus Routes,CC Facilities,CC Cafe,CC Internet Access,CC Key Activities,CC Disabled Access,CC Projects In Centre,CC Programme,CC More Information,CC Location description,ICT Coordinator,HT Email,Av SOS Roll
Schools - Primary,ND Primary,Abbeyhill Primary School,Head Teacher,Sandra Stewart (Acting),Abbey Street,,Edinburgh,EH7 5SJ,0131 661 3054,0131 478 7067,Admin@Abbeyhill.edin.sch.uk,http://www.abbeyhill.edin.sch.uk,,5520924,YES,,North,City Centre,327073,674330,Abbeyhill PS,,Non-Denominational,Drummond Community High,Edinburgh Catering Services,,Silver,,,Lynsey Stewart,Linda Finlay,,Linda Watt,linda.watt@abbeyhill.edin.sch.uk,Nicola Barclay,07825 842971,,,,,,,,,,,,Sandra Stewart (Acting Head Teacher) and Tania Evans (Primary Teacher),Sandra.Stewart@abbeyhill.edin.sch.uk,176
Schools - Primary,ND Primary,Balgreen Primary School,Head Teacher,Fiona Christie,171 Balgreen Road,,Edinburgh,EH11 3AT,0131 337 6066,0131 476 7220,Admin@Balgreen.edin.sch.uk,http://www.balgreen.edin.sch.uk,,5521025,,,West,Sighthill/Gorgie,322130,672300,Balgreen PS,,Non-Denominational,Tynecastle High,Edinburgh Catering Services,,Green Flag,,,Avril Wilson,Janette Smith,,Eileen Grant,Eileen.Grant@ea.edin.sch.uk,Pamela Brown,07884 142774,,,,,,,,,,,,Elizabeth Little (Learning Assistant) and Stephen Mitchell (Primary Teacher),Fiona.Christie@balgreen.edin.sch.uk,367
Schools - Primary,ND Primary,Blackhall Primary School,Head Teacher,Arran Finlay,83 Craigcrook Road,,Edinburgh,EH4 3PH,0131 336 1023,0131 466 7063,Admin@blackhall.edin.sch.uk,http://www.blackhall.edin.sch.uk,,5521122,,,West,Inverleith,321338,674322,Blackhall PS,,Non-Denominational,The Royal High,Edinburgh Catering Services,,Green Flag,,,Wayne Galloway,Frances Fyvie,,June Cameron,June.Cameron@ea.edin.sch.uk,Neil Russell,07825 782585,,,,,,,,,,,,Sara MacDonald (Primary Teacher),Arran.Finlay@blackhall.edin.sch.uk,417
Schools - Primary,ND Primary,Bonaly Primary School,Headteacher,Laurinda Ramage,57 Bonaly Road,,Edinburgh,EH13 0FJ,0131 441 7211,0131 441 7245,Admin@Bonaly.edin.sch.uk,http://www.bonaly.edin.sch.uk,,5540925,YES,,South West,Colinton/Fairmilehead,321388,668064,Bonaly PS,,Non-Denominational,Firrhill High,Mitie,,Silver,,,Morag Cameron,Susan Blyth,,Susan Blyth,Susan.Blyth@ea.edin.sch.uk,Lorna Norman,07884 191761,,,,,,,,,,,,Morag Cameron (Primary Teacher),Laurinda.Ramage@bonaly.edin.sch.uk,429
Schools - Primary,ND Primary,Broomhouse Primary School,Head Teacher,Yvonne Barrie,39 Saughton Road,,Edinburgh,EH11 3RQ,0131 443 3783,0131 444 0446,Admin@Broomhouse.edin.sch.uk,http://www.broomhouse.edin.sch.uk,,5521424,YES,,West,Sighthill/Gorgie,320494,671313,Broomhouse PS,,Non-Denominational,Forrester High,Amey,,Green Flag,,,Christopher Kelly,Christopher Kelly,,Pamela Soutar,Pamela.Soutar@ea.edin.sch.uk,Paddy Dearlove,07884 203270,,,,,,,,,,,,Chris Kelly (Acting DHT),Yvonne.Barrie@broomhouse.edin.sch.uk,179
Schools - Primary,ND Primary,Broughton Primary School,Head Teacher,Samantha Rushforth (Acting),132 Broughton Road,,Edinburgh,EH7 4LD,0131 556 7028,0131 556 7001,Admin@broughton-pri.edin.sch.uk,http://www.broughton-pri.edin.sch.uk,,5521521,YES,,North,Leith Walk,325880,675350,Broughton PS,,Non-Denominational,Drummond  Community High,Edinburgh Catering Services,,Green Flag,,,Paula Gilhooly,Alan Devine,,Asif Ahmed,Asif.Ahmed@ea.edin.sch.uk,Nicola Barclay,07825 842971,,,,,,,,,,,,"Alan Devine, David Borthwick, Alexa Pope, Paula Gilhooly and Asif Ahmed",Samantha.Rushforth@broughton-pri.edin.sch.uk,386
Schools - Primary,ND Primary,Brunstane Primary School,Head Teacher,Elizabeth Boyle,106 Magdalene Drive,,Edinburgh,EH15 3BE,0131 669 4498,0131 669 7457,Admin@brunstane.edin.sch.uk,http://www.brunstane.edin.sch.uk,,5521629,YES,,East,Portobello/Craigmillar,331160,672636,Brunstane PS,,Non-Denominational,Portobello High,Edinburgh Catering Services,,Silver,,,Tori Wright,B J Cairnie,Yes,Brian Cairnie,Brian.Cairnie@ea.edin.sch.uk,Jayne Smith (term-time only),0131 661 4459/07884 271028,,,,,,,,,,,,Karen MacLeod (Teacher) and Tori Wright (Probationary Teacher),Elizabeth.Boyle@brunstane.edin.sch.uk,201
Schools - Primary,ND Primary,Bruntsfield Primary School,Head Teacher,Carol-Anne Kyle,12 Montpelier,,Edinburgh,EH10 4NA,0131 229 1821,0131 221 9969,Admin@bruntsfield.edin.sch.uk,http://www.bruntsfield.edin.sch.uk,,5521726,,,South,Meadows/Morningside,324480,672250,Bruntsfield PS,,Non-Denominational,Boroughmuir High,Edinburgh Catering Services,,Silver,,,Jim Wilson,Annabelle Barlow,Yes,Joe Biolik,Joe.Biolik@ea.edin.sch.uk,Andrew Caldwell,07825 386710/0131 229 9703,,,,,,,,,,,,Jim Wilson (Depute Head Teacher) and Joe Biolik (Business Manager),Carol-Anne.Kyle@bruntsfield.edin.sch.uk,489
Schools - Primary,ND Primary,Buckstone Primary School,Head Teacher,Diane Palmer,79 Buckstone Loan East,,Edinburgh,EH10 6UY,0131 445 4545,0131 445 7709,Admin@buckstone.edin.sch.uk,http://www.buckstone.edin.sch.uk,,5541220,YES,,South,Colinton/Fairmilehead,325330,668730,Buckstone PS,,Non-Denominational,Boroughmuir High,Edinburgh Catering Services,,Green Flag,,,Derek Hyde,Nicki Swanston,,Graeme Greig,Graeme.Greig@ea.edin.sch.uk,Andrew Caldwell,07825 386710/0131 229 9703,,,,,,,,,,,,Derek Hyde (Primary Teacher) and Linda Forbes (Deputising Depute Head Teacher),Diane.Palmer@buckstone.edin.sch.uk,424
Schools - Primary,ND Primary,Bun-sgoil Taobh na Pairce (Parkside Primary School),Head Teacher,Anne MacPhail,139b Bonnington Road,,Edinburgh,EH6 5NQ,0131 553 5856,,,,,1002724,,,North,Leith Walk,326470,675895,Parkside PS,,Non-Denominational,,,,,,,,,,Eleanor Grafton,,,,,,,,,,,,,,,,,
