Establishment Type,Establishment Sub-Type,Establishment Name,Contact Title,Contact Name,Address 1,Address 2,Town/City,Postcode,Phone,Fax,Email,Website,Establishment Notes,SEED Code,Nursery Class,School Annexe,Neighbourhood,Multi-Member Ward,X,Y,Short Name,Opening Hours,Religion,Associated secondary school,Meal provider,More about primary school meals,Eco-Schools status,More about the Eco-Schools programme,Catchment area map,Glow SCA,Glow ASM,Kitchen,Business Manager,Business Manager E-mail,Active School Co-ordinator,ASC Phone,CC Opening Hours,CC Bus Routes,CC Facilities,CC Cafe,CC Internet Access,CC Key Activities,CC Disabled Access,CC Projects In Centre,CC Programme,CC More Information,CC Location description,ICT Coordinator,HT Email,SOS Roll
Schools - Secondary,ND Secondary,Balerno Community High School,Head Teacher,Graeme Sives,"5 Bridge Road, Balerno",,Edinburgh,EH14 7AQ,0131 477 7788,0131 477 7707,Admin@balernochs.edin.sch.uk,http://www.balernochs.edin.sch.uk,,5541638,,,South West,Pentland Hills,316391,666780,Balerno HS,,Non-Denominational,,Edinburgh Catering Services,,Registered,,,Peter Lennon,Peter Lennon,Yes,Linda Parkes,Linda.Parkes@balernochs.edin.sch.uk,"Bev Anderson (Mon, Tue, Wed)",07799 861460/0131 477 7788,,,,,,,,,,,,"Linda Parkes (Business Manager, Secondary) and Peter Lennon (Principal Teacher, Computing)",Graeme.Sives@balernochs@edin.sch.uk,762
Schools - Secondary,ND Secondary,Boroughmuir High School,Head Teacher,David Dempster,Viewforth,,Edinburgh,EH10 4LR,0131 229 9703,0131 228 9185,Admin@boroughmuir.edin.sch.uk,http://www.boroughmuir.edin.sch.uk,,5531438,,"St Oswald`s Hall, Montpelier Park, EH10 4NB",South,Meadows/Morningside,324540,672380,Boroughmuir HS,,Non-Denominational,,Edinburgh Catering Services,,Silver,,,June Lambert,June Lambert,Yes,Bruce Munro (Mon-Tues) Michael Morrison (Wed-Fri),"Bruce.Munro@ea.edin.sch.uk, Michael.Morrison@Boroughmuir.edin.sch.uk",Andrew Caldwell,07825 386710/0131 229 9703,,,,,,,,,,,,June Lambert (Principal Teacher),david.dempster@boroughmuir.edin.sch.uk,1152
Schools - Secondary,ND Secondary,Broughton High School,Head Teacher,John Wilson,29 East Fettes Avenue,,Edinburgh,EH4 1EG,0131 332 7805,0131 343 3296,Admin@Broughton.edin.sch.uk,http://www.broughton.edin.sch.uk,,5531632,,,North,Inverleith,323788,674815,Broughton HS,,Non-Denominational,,Mitie,,Silver,,,Richard Burgess,Richard Burgess,Yes,John Hunter,John.Hunter@broughton.edin.sch.uk,Robert Ure,07884 216213,,,,,,,,,,,,Scott Millar (Faculty Head Technology & Enterprise),John.wilson@broughton.edin.sch.uk,920
Schools - Secondary,ND Secondary,Castlebrae High School,Head Teacher,Derek Curran,2A Greendykes Road,,Edinburgh,EH16 4DP,0131 661 1282,0131 661 4049,Admin@castlebrae.edin.sch.uk,http://www.castlebrae.edin.sch.uk,,5531934,,,East,Portobello/Craigmillar,329296,671323,Castlebrae HS,,Non-Denominational,,Edinburgh Catering Services,,Silver,,,Tom Hendry,Vacancy,Yes,Simon Stephen,simon.stephen@castlebrae.edin.sch.uk,Alan Reid,0131 468 4504,,,,,,,,,,,,Tom Hendry (Teacher of Computing),Derek.Curran@castlebrae.edin.sch.uk,198
Schools - Secondary,ND Secondary,Craigmount High School,Head Teacher,Dr John Campbell,59 Craigs Road,,Edinburgh,EH12 8NH,0131 339 6823,0131 339 9830,Admin@craigmount.edin.sch.uk,http://www.craigmount.edin.sch.uk,,5532132,,,West,Drum Brae/Gyle,318605,673238,Craigmount HS,,Non-Denominational,,Amey,,Silver,,,Sara Aubeeluck,Margaret Miller,,Charlie Allan,Charlie.Allan@craigmount.edin.sch.uk,Bob Laurie,0131 339 6823,,,,,,,,,,,,Sara Hendrie (Principal Teacher),John.Campbell@craigmount.edin.sch.uk,1268
Schools - Secondary,ND Secondary,Craigroyston Community High School,Head Teacher,Stephen Ross,67 Pennywell Road,,Edinburgh,EH4 4QP,0131 477 7801,0131 477 7805,Admin@craigroyston.edin.sch.uk,http://www.craigroyston.edin.sch.uk/,,5532434,,,North,Forth,321827,676319,Craigroyston HS,,Non-Denominational,,Mitie,,Bronze,,,Ian Purdom,Ian Purdom,Yes,Leslie Russell,Leslie.Russell@ea.edin.sch.uk,Andrew Gallacher,07711 390745/0131 477 7801,,,,,,,,,,,,Leslie Russell (Business Manager),Stephen.Ross@craigroyston.edin.sch.uk,404
Schools - Secondary,ND Secondary,Currie Community High School,Head Teacher,Doreen MacKinnon (Acting),31 Dolphin Avenue,Currie,Edinburgh,EH14 5RD,"School: 0131 449 2165, Community Office: 0131 449 5922",0131 451 5854,Admin@currie.edin.sch.uk,http://www.currie.edin.sch.uk,,5540739,,,South West,Pentland Hills,317490,667850,Currie CHS,,Non-Denominational,,Edinburgh Catering Services,,Green Flag,,,Jim Duchart,Ron Loan,Yes,Phill Pache,Phill.Pache@currie.edin.sch.uk,"Bev Anderson (Mon am, Wed pm, Thu am)",0131 477 7788,,,,,,,,,,,,Clare Braisby (Computing Teacher),Doreen.MacKinnon@currie.edin.sch.uk,776
Schools - Secondary,ND Secondary,Drummond Community High School,Head Teacher,Norma Prentice,41 Bellevue Place,,Edinburgh,EH7 4BS,0131 556 2651,0131 550 0375,Admin@drummond.edin.sch.uk,http://www.drummond.edin.sch.uk,,5532531,,,North,Leith Walk,325820,674810,Drummond HS,,Non-Denominational,,Amey,,Bronze,,,Denise Ballantine,Peter Luke,,Peter Luke,Peter.Luke@drummond.edin.sch.uk,Nicola Barclay,07825 842971,,,,,,,,,,,,Peter Luke (Staff) and Susan Lambert (Principal Teacher),Norma.Prentice@drummond.edin.sch.uk,460
Schools - Secondary,ND Secondary,Firrhill High School,Head Teacher,Sarah Brown,9 Oxgangs Road North,,Edinburgh,EH14 1DP,0131 441 4501,0131 441 1036,Admin@firrhill.edin.sch.uk,http://www.firrhill.edin.sch.uk,,5532639,,,South West,Fountainbridge/Craiglockhart,322817,669783,Firrhill HS,,Non-Denominational,,Amey,,Silver,,,David Hall,Susan Stephens,Yes,David Hall,David.Hall@firrhill.edin.sch.uk,"Fiona Damen (Mon, Tue, Wed)",07769 922742,,,,,,,,,,,,Philip Keenan (AV/IT Technician) and Susan Stevens (Principal Teacher),Sarah.Brown@firrhill.edin.sch.uk,1123
Schools - Secondary,ND Secondary,Forrester High School,Head Teacher,Graeme Thompson,212 Broomhouse Road,,Edinburgh,EH12 9AE,0131 334 9262,0131 467 7134,Admin@forrester.edin.sch.uk,http://www.forrester.edin.sch.uk,,5532736,,,West,Drum Brae/Gyle,319676,671695,Forrester HS,,Non-Denominational,,Mitie,,Silver,,,Gary Sullivan,Fiona Harvey,Yes,Neil Hunter,Neil.Hunter@forrester.edin.sch.uk,Mellissa Berry,07768 603816,,,,,,,,,,,,Gary Sullivan (IT Technician) and Mark Cunningham (PT Computing),Graeme.Thompson@forrester.edin.sch.uk,655
