2012-12-04-11-26-38-8125 - Invalid&nbsp;object&nbsp;name&nbsp;'dbo.Profile'.
2012-12-04-11-37-18-0976 - z:\Work\the-eight\stadium-electronics-2012-11-21\5.&nbsp;site-build\Website\MasterPage.Master(36):&nbsp;error&nbsp;CS1061:&nbsp;'ASP.masterpage_master'&nbsp;does&nbsp;not&nbsp;contain&nbsp;a&nbsp;definition&nbsp;for&nbsp;'lnkLogin_Click'&nbsp;and&nbsp;no&nbsp;extension&nbsp;method&nbsp;'lnkLogin_Click'&nbsp;accepting&nbsp;a&nbsp;first&nbsp;argument&nbsp;of&nbsp;type&nbsp;'ASP.masterpage_master'&nbsp;could&nbsp;be&nbsp;found&nbsp;(are&nbsp;you&nbsp;missing&nbsp;a&nbsp;using&nbsp;directive&nbsp;or&nbsp;an&nbsp;assembly&nbsp;reference?)
2013-02-20-11-39-35-0966 - d:\coalface\butterfly-creative-2013-02-08\Website\admin\Content\List.aspx.cs(6):&nbsp;error&nbsp;CS0246:&nbsp;The&nbsp;type&nbsp;or&nbsp;namespace&nbsp;name&nbsp;'Utils'&nbsp;could&nbsp;not&nbsp;be&nbsp;found&nbsp;(are&nbsp;you&nbsp;missing&nbsp;a&nbsp;using&nbsp;directive&nbsp;or&nbsp;an&nbsp;assembly&nbsp;reference?)
2013-02-20-12-16-00-6875 - d:\coalface\butterfly-creative-2013-02-08\Website\admin\Content\List.aspx.cs(20):&nbsp;error&nbsp;CS1061:&nbsp;'Website.Code.Models.Content'&nbsp;does&nbsp;not&nbsp;contain&nbsp;a&nbsp;definition&nbsp;for&nbsp;'Template'&nbsp;and&nbsp;no&nbsp;extension&nbsp;method&nbsp;'Template'&nbsp;accepting&nbsp;a&nbsp;first&nbsp;argument&nbsp;of&nbsp;type&nbsp;'Website.Code.Models.Content'&nbsp;could&nbsp;be&nbsp;found&nbsp;(are&nbsp;you&nbsp;missing&nbsp;a&nbsp;using&nbsp;directive&nbsp;or&nbsp;an&nbsp;assembly&nbsp;reference?)
2013-02-20-12-20-13-6962 - d:\coalface\butterfly-creative-2013-02-08\Website\admin\Content\List.aspx.cs(20):&nbsp;error&nbsp;CS1061:&nbsp;'Website.Code.Models.Content'&nbsp;does&nbsp;not&nbsp;contain&nbsp;a&nbsp;definition&nbsp;for&nbsp;'Template'&nbsp;and&nbsp;no&nbsp;extension&nbsp;method&nbsp;'Template'&nbsp;accepting&nbsp;a&nbsp;first&nbsp;argument&nbsp;of&nbsp;type&nbsp;'Website.Code.Models.Content'&nbsp;could&nbsp;be&nbsp;found&nbsp;(are&nbsp;you&nbsp;missing&nbsp;a&nbsp;using&nbsp;directive&nbsp;or&nbsp;an&nbsp;assembly&nbsp;reference?)
2013-02-20-12-21-10-5927 - d:\coalface\butterfly-creative-2013-02-08\Website\admin\Content\List.aspx.cs(20):&nbsp;error&nbsp;CS1061:&nbsp;'Website.Code.Models.Content'&nbsp;does&nbsp;not&nbsp;contain&nbsp;a&nbsp;definition&nbsp;for&nbsp;'Template'&nbsp;and&nbsp;no&nbsp;extension&nbsp;method&nbsp;'Template'&nbsp;accepting&nbsp;a&nbsp;first&nbsp;argument&nbsp;of&nbsp;type&nbsp;'Website.Code.Models.Content'&nbsp;could&nbsp;be&nbsp;found&nbsp;(are&nbsp;you&nbsp;missing&nbsp;a&nbsp;using&nbsp;directive&nbsp;or&nbsp;an&nbsp;assembly&nbsp;reference?)
2013-02-20-12-21-14-9140 - d:\coalface\butterfly-creative-2013-02-08\Website\admin\Content\List.aspx.cs(20):&nbsp;error&nbsp;CS1061:&nbsp;'Website.Code.Models.Content'&nbsp;does&nbsp;not&nbsp;contain&nbsp;a&nbsp;definition&nbsp;for&nbsp;'Template'&nbsp;and&nbsp;no&nbsp;extension&nbsp;method&nbsp;'Template'&nbsp;accepting&nbsp;a&nbsp;first&nbsp;argument&nbsp;of&nbsp;type&nbsp;'Website.Code.Models.Content'&nbsp;could&nbsp;be&nbsp;found&nbsp;(are&nbsp;you&nbsp;missing&nbsp;a&nbsp;using&nbsp;directive&nbsp;or&nbsp;an&nbsp;assembly&nbsp;reference?)
2013-02-20-12-21-34-3076 - d:\coalface\butterfly-creative-2013-02-08\Website\admin\Content\List.aspx.cs(20):&nbsp;error&nbsp;CS1061:&nbsp;'Website.Code.Models.Content'&nbsp;does&nbsp;not&nbsp;contain&nbsp;a&nbsp;definition&nbsp;for&nbsp;'Template'&nbsp;and&nbsp;no&nbsp;extension&nbsp;method&nbsp;'Template'&nbsp;accepting&nbsp;a&nbsp;first&nbsp;argument&nbsp;of&nbsp;type&nbsp;'Website.Code.Models.Content'&nbsp;could&nbsp;be&nbsp;found&nbsp;(are&nbsp;you&nbsp;missing&nbsp;a&nbsp;using&nbsp;directive&nbsp;or&nbsp;an&nbsp;assembly&nbsp;reference?)
2013-02-20-12-21-40-7460 - d:\coalface\butterfly-creative-2013-02-08\Website\admin\Content\List.aspx.cs(20):&nbsp;error&nbsp;CS1061:&nbsp;'Website.Code.Models.Content'&nbsp;does&nbsp;not&nbsp;contain&nbsp;a&nbsp;definition&nbsp;for&nbsp;'Template'&nbsp;and&nbsp;no&nbsp;extension&nbsp;method&nbsp;'Template'&nbsp;accepting&nbsp;a&nbsp;first&nbsp;argument&nbsp;of&nbsp;type&nbsp;'Website.Code.Models.Content'&nbsp;could&nbsp;be&nbsp;found&nbsp;(are&nbsp;you&nbsp;missing&nbsp;a&nbsp;using&nbsp;directive&nbsp;or&nbsp;an&nbsp;assembly&nbsp;reference?)
2013-02-20-13-01-37-6953 - d:\coalface\butterfly-creative-2013-02-08\Website\Controls\Admin\Navigation\Content.ascx(12):&nbsp;error&nbsp;CS0120:&nbsp;An&nbsp;object&nbsp;reference&nbsp;is&nbsp;required&nbsp;for&nbsp;the&nbsp;non-static&nbsp;field,&nbsp;method,&nbsp;or&nbsp;property&nbsp;'System.Web.UI.Control.ID.get'
2013-02-20-13-02-22-3779 - d:\coalface\butterfly-creative-2013-02-08\Website\Controls\Admin\Navigation\Content.ascx(45):&nbsp;error&nbsp;CS0120:&nbsp;An&nbsp;object&nbsp;reference&nbsp;is&nbsp;required&nbsp;for&nbsp;the&nbsp;non-static&nbsp;field,&nbsp;method,&nbsp;or&nbsp;property&nbsp;'System.Web.UI.Control.ID.get'
